"Dodaj producenta","Dodaj producenta"
"Klucz URL","Klucz URL"
"Klucz URL","Klucz URL"
"Logo producenta","Logo producenta"
"Logo","Logo"
"Miniaturka logo","Miniaturka logo"
"Nazwa producenta","Nazwa producenta"
"Podstawowe informacje","Podstawowe informacje"
"Producenci","Producenci"
"Producent - edycja","Producent - edycja"
"Producent","Producent"
"Przypisz produkty do innego producenta","Przypisz produkty do innego producenta"
"Usuń","Usuń"
"Usunięcie producenta","Usunięcie producenta"
"Niepoprawne Id","Niepoprawne Id"
"Producent zapisany poprawnie.","Producent zapisany poprawnie."
"Nieprawidłowy producent.","Nieprawidłowy producent."
"Producent do którego przenieść produkty nie istnieje.","Producent do którego przenieść produkty nie istnieje."
"Producent poprawnie usunięty.","Producent poprawnie usunięty."
"Zaktualizowano %s produktów.","Zaktualizowano %s produktów."
"Producent - %s","Producent - %s"
"Producent nie został odnaleziony.","Producent nie został odnaleziony."
